sku,year,make,model
sku640,2002,make14,model208
sku632,1994,make46,model339
sku132,2007,make26,model79
sku698,1991,make40,model357
sku777,1991,make36,model493
sku496,2004,make50,model452
sku259,2000,make12,model89
sku827,1991,make7,model233
sku593,1999,make45,model113
sku585,2009,make46,model358
sku510,1999,make44,model104
sku480,2005,make47,model129
sku710,2004,make13,model103
sku238,1995,make6,model248
sku652,1998,make34,model239
sku411,2009,make48,model2
sku226,2009,make12,model406
sku618,1993,make27,model64
sku534,1999,make17,model7
sku53,1996,make14,model381
sku880,2002,make49,model59
sku743,1991,make31,model197
sku412,1996,make44,model411
sku98,2009,make42,model162
sku638,1991,make7,model128
sku179,2005,make20,model356
sku59,2007,make37,model56
sku973,2013,make44,model426
sku503,2010,make49,model123
sku913,2003,make32,model163
sku867,2002,make8,model483
sku326,2013,make15,model482
sku20,2000,make11,model99
sku81,2004,make46,model70
sku317,2005,make13,model145
sku626,1992,make8,model65
sku960,1992,make19,model437
sku690,1990,make10,model279
sku524,1998,make27,model425
sku312,2009,make41,model166
sku230,1990,make27,model156
sku631,2000,make23,model474
sku70,2006,make12,model348
sku820,1999,make42,model390
sku486,1994,make33,model88
sku210,2010,make37,model367
sku190,1996,make30,model251
sku62,1999,make42,model146
sku425,1998,make31,model28
sku797,1991,make1,model434
sku748,1995,make29,model284
sku616,1999,make18,model51
sku583,2013,make14,model397
sku846,1990,make27,model18
sku263,1992,make27,model163
sku503,1998,make31,model464
sku728,1995,make50,model263
sku266,2013,make20,model7
sku224,2012,make30,model420
sku340,2012,make48,model462
sku924,1995,make36,model385
sku229,1995,make41,model246
sku350,1998,make41,model427
sku708,2000,make40,model218
sku647,2008,make48,model457
sku748,1998,make47,model486
sku305,2002,make41,model322
sku432,2008,make29,model178
sku973,1996,make7,model101
sku523,2012,make35,model436
sku269,2002,make37,model488
sku940,2002,make21,model294
sku267,1998,make25,model8
sku721,2000,make50,model13
sku930,2009,make34,model181
sku552,1995,make36,model262
sku517,2010,make37,model20
sku769,1999,make46,model19
sku926,2005,make1,model433
sku138,2000,make23,model203
sku792,2012,make21,model257
sku375,1999,make27,model153
sku204,1994,make34,model378
sku442,1999,make14,model479
sku222,1990,make50,model495
sku419,2011,make2,model172
sku539,1990,make11,model339
sku461,2005,make5,model127
sku611,2001,make39,model493
sku904,1997,make15,model54
sku509,2012,make44,model475
sku336,1993,make46,model279
sku140,2011,make28,model279
sku808,2003,make46,model174
sku611,1992,make2,model36
sku770,1992,make17,model191
sku602,1992,make19,model253
sku390,2005,make31,model449
sku610,2001,make43,model473
sku612,2008,make26,model376
sku657,1991,make16,model233
sku622,1995,make41,model117
sku320,2010,make16,model45
sku937,2005,make24,model269
sku714,2010,make3,model52
sku490,2005,make50,model50
sku128,2010,make3,model370
sku601,2003,make25,model129
sku594,2009,make37,model108
sku10,2002,make23,model165
sku366,2008,make21,model151
sku377,2011,make42,model45
sku722,2011,make10,model106
sku536,1994,make16,model332
sku39,1998,make21,model320
sku899,2011,make45,model247
sku692,2004,make36,model351
sku149,1993,make2,model258
sku905,2000,make41,model141
sku337,2005,make19,model29
sku536,2003,make14,model36
sku756,2003,make37,model397
sku931,1993,make22,model415
sku30,1997,make17,model361
sku946,1990,make22,model48
sku184,2000,make31,model45
sku903,2000,make19,model120
sku80,2007,make15,model308
sku303,2003,make35,model29
sku143,2000,make43,model37
sku558,1996,make46,model294
sku614,1995,make16,model280
sku253,2007,make33,model219
sku183,1996,make27,model43
sku689,2011,make17,model384
sku634,2004,make20,model468
sku185,1991,make50,model164
sku490,2010,make21,model24
sku130,1997,make32,model372
sku528,2012,make16,model391
sku669,2012,make11,model426
sku220,2007,make47,model454
sku635,1996,make34,model134
sku880,1991,make11,model32
sku126,1994,make20,model308
sku43,2008,make34,model87
sku96,1997,make46,model312
sku233,1995,make21,model451
sku175,2004,make38,model197
sku362,2006,make16,model499
sku951,2013,make14,model416
sku35,2001,make45,model81
sku665,1996,make39,model354
sku77,2000,make44,model86
sku730,2009,make40,model482
sku14,1994,make44,model94
sku819,2004,make30,model91
sku308,2011,make9,model130
sku861,2000,make5,model448
sku908,2013,make3,model287
sku268,2009,make14,model172
sku266,1993,make26,model498
sku956,1997,make48,model485
sku509,2009,make8,model164
sku440,2007,make26,model374
sku622,2006,make1,model241
sku125,1992,make19,model17
sku77,2000,make31,model172
sku260,2011,make35,model263
sku45,1994,make27,model500
sku514,2001,make49,model11
sku300,1992,make18,model370
sku863,2010,make25,model242
sku541,2001,make49,model333
sku588,1998,make35,model332
sku770,1997,make1,model15
sku189,2006,make28,model117
sku899,1991,make12,model206
sku553,1994,make22,model426
sku325,2008,make30,model94
sku639,1991,make34,model90
sku572,2005,make43,model80
sku975,2003,make42,model373
sku847,2009,make39,model18
sku526,1997,make14,model212
sku402,2001,make42,model477
sku699,1996,make41,model12
sku50,1999,make11,model344
sku476,2011,make44,model24
sku515,2007,make11,model245
sku255,1990,make12,model51
sku860,1990,make7,model193
sku334,1999,make41,model368
sku900,2005,make35,model300
sku912,2001,make32,model481
sku892,2009,make33,model184
sku712,2002,make21,model113
sku227,2004,make36,model241
sku651,2012,make30,model255
sku955,2007,make45,model145
sku117,2006,make2,model9
sku347,2007,make31,model129
sku207,1995,make11,model50
sku70,2010,make24,model391
sku382,2011,make1,model304
sku502,2007,make5,model76
sku670,2006,make34,model312
sku385,2003,make46,model251
sku259,2012,make26,model303
sku648,1993,make44,model428
sku372,1991,make48,model221
sku947,2000,make12,model165
sku301,1995,make47,model401
sku951,1990,make48,model311
sku694,2004,make13,model40
sku170,1993,make30,model215
sku92,1992,make2,model370
sku233,2011,make30,model303
sku976,2003,make3,model461
sku967,1996,make13,model134
sku496,1994,make4,model224
sku210,1990,make4,model452
sku637,1997,make50,model403
sku468,2003,make12,model280
sku661,1996,make15,model447
sku162,2011,make25,model69
sku441,2003,make3,model204
sku809,1997,make34,model153
sku494,2007,make38,model352
sku765,2009,make31,model201
sku130,2004,make11,model299
sku151,2000,make8,model406
sku707,2000,make36,model434
sku348,1994,make1,model395
sku744,1991,make10,model277
sku370,2010,make43,model432
sku612,2004,make29,model189
sku427,1994,make39,model278
sku763,2013,make8,model457
sku423,1997,make37,model65
sku765,2000,make50,model57
sku631,1990,make46,model188
sku64,1992,make47,model217
sku965,2008,make15,model289
sku392,2010,make48,model410
sku38,2007,make19,model400
sku712,2002,make36,model68
sku837,2000,make14,model301
sku866,1996,make36,model249
sku262,2004,make44,model163
sku709,2009,make38,model337
sku581,1991,make13,model487
sku918,1994,make40,model478
sku931,1993,make38,model322
sku692,2001,make39,model264
sku906,1990,make7,model386
sku302,2010,make14,model282
sku455,1993,make45,model82
sku936,2005,make42,model259
sku701,1992,make25,model310
sku288,1996,make29,model110
sku445,1997,make44,model69
sku797,2005,make34,model351
sku679,2009,make24,model490
sku635,2007,make28,model45
sku878,2000,make13,model407
sku77,1992,make17,model389
sku175,2009,make20,model231
sku98,2013,make35,model272
sku297,2002,make34,model47
sku180,1998,make40,model429
sku136,1996,make42,model385
sku6,1999,make43,model442
sku812,1992,make35,model444
sku199,1990,make34,model187
sku843,1991,make42,model470
sku29,2002,make25,model163
sku57,1993,make21,model119
sku503,1995,make5,model320
sku479,2012,make21,model242
sku313,1996,make19,model62
sku377,1991,make1,model288
sku88,2006,make48,model465
sku737,2008,make44,model383
sku297,1998,make5,model177
sku512,2002,make30,model8
sku720,2006,make33,model99
sku615,1991,make35,model464
sku327,1991,make3,model352
sku111,1991,make14,model99
sku738,1995,make7,model237
sku5,2013,make12,model151
sku348,1997,make33,model430
sku835,1995,make44,model277
sku926,2002,make38,model270
sku586,2000,make24,model456
sku480,2002,make31,model296
sku578,2011,make40,model158
sku115,2011,make40,model60
sku912,1990,make22,model130
sku354,1991,make6,model95
sku317,2013,make38,model122
sku518,2001,make40,model52
sku926,1995,make1,model203
sku766,2005,make50,model172
sku520,2008,make33,model317
sku700,2000,make38,model306
sku474,1994,make44,model414
sku248,2013,make1,model283
sku981,2008,make41,model250
sku252,2004,make31,model89
sku839,2004,make30,model302
sku247,2003,make48,model383
sku364,2004,make20,model32
sku53,1993,make34,model263
sku326,2003,make18,model287
sku533,1998,make7,model257
sku127,2012,make1,model190
sku533,2004,make28,model186
sku230,1993,make49,model238
sku720,2012,make13,model42
sku526,2005,make8,model290
sku794,2009,make6,model60
sku365,2000,make35,model449
sku826,2009,make21,model477
sku772,2000,make17,model152
sku35,2011,make34,model133
sku28,2005,make37,model374
sku569,2013,make42,model48
sku623,2013,make34,model208
sku798,2008,make27,model81
sku234,1995,make3,model30
sku54,2001,make1,model413
sku891,1998,make7,model463
sku233,2009,make10,model131
sku451,2012,make1,model10
sku910,2010,make6,model267
sku817,2008,make48,model307
sku563,2001,make39,model399
sku709,2010,make43,model381
sku304,2010,make30,model97
sku214,2007,make6,model223
sku518,1997,make36,model485
sku236,2007,make50,model73
sku553,1992,make34,model185
sku887,2004,make50,model225
sku108,2008,make13,model408
sku593,1992,make29,model448
sku972,1993,make5,model93
sku880,1994,make32,model199
sku513,1998,make19,model374
sku50,1998,make45,model302
sku454,2003,make49,model170
sku195,2012,make40,model152
sku711,1990,make6,model152
sku139,2006,make10,model56
sku859,1996,make15,model370
sku493,2012,make7,model3
sku263,2002,make38,model157
sku855,2005,make46,model155
sku216,2011,make33,model206
sku839,2000,make36,model275
sku474,2009,make43,model306
sku525,1991,make37,model192
sku337,1990,make7,model415
sku945,1996,make42,model104
sku761,2004,make27,model308
sku235,2000,make47,model226
sku322,2003,make44,model81
sku11,2003,make36,model242
sku404,2003,make5,model465
sku613,2009,make16,model475
sku836,2000,make39,model391
sku694,2004,make50,model228
sku203,2002,make4,model219
sku944,2013,make45,model133
sku567,2007,make22,model289
sku321,1993,make4,model363
sku698,1993,make33,model155
sku975,2013,make13,model405
sku400,1990,make30,model47
sku654,2003,make28,model428
sku87,2004,make15,model16
sku612,1994,make15,model90
sku927,2007,make38,model124
sku856,2009,make49,model277
sku973,2004,make44,model474
sku589,1992,make38,model494
sku161,1998,make5,model407
sku925,2005,make34,model6
sku245,2013,make3,model428
sku141,1998,make2,model34
sku57,2008,make16,model456
sku605,1996,make24,model289
sku911,1997,make27,model250
sku449,1996,make25,model305
sku625,2003,make22,model275
sku194,1992,make28,model220
sku54,2004,make15,model98
sku935,1997,make14,model496
sku117,2003,make46,model361
sku864,1998,make15,model387
sku693,2009,make14,model71
sku100,2008,make38,model363
sku325,1994,make14,model260
sku264,2009,make48,model159
sku432,1996,make26,model184
sku579,2008,make18,model348
sku351,1996,make21,model108
sku627,2007,make50,model160
sku536,1996,make23,model318
sku17,1994,make18,model171
sku380,2005,make43,model322
sku465,2009,make49,model449
sku67,2001,make14,model323
sku247,2004,make18,model299
sku881,2008,make41,model254
sku472,2009,make42,model4
sku58,1996,make33,model38
sku493,1990,make21,model437
sku635,1996,make26,model50
sku92,2001,make50,model80
sku948,1996,make41,model97
sku880,1993,make40,model381
sku901,2004,make14,model186
sku401,1992,make19,model230
sku377,1990,make27,model435
sku24,2012,make38,model329
sku226,1996,make38,model159
sku732,2008,make24,model340
sku14,1996,make44,model447
sku423,2005,make33,model162
sku267,2012,make35,model334
sku13,1991,make7,model195
sku95,2005,make13,model59
sku610,2013,make39,model418
sku255,2002,make8,model494
sku287,2005,make34,model150
sku908,2002,make10,model165
sku205,2010,make33,model236
sku766,1998,make7,model389
sku421,1996,make9,model258
sku925,2000,make32,model268
sku421,1999,make19,model338
sku940,2002,make34,model114
sku150,1997,make27,model29
sku867,2007,make20,model36
sku564,1990,make28,model165
sku387,2006,make6,model404
sku946,1996,make17,model436
sku696,2012,make21,model59
sku361,2008,make40,model151
sku297,2000,make27,model224
sku781,1991,make26,model324
sku771,2011,make36,model168
sku929,1996,make34,model158
sku942,2008,make7,model444
sku44,2000,make38,model370
sku397,1993,make43,model379
sku937,2005,make3,model117
sku102,2004,make34,model441
sku637,1994,make27,model204
sku72,1995,make38,model1
sku507,1999,make16,model224
sku176,2000,make17,model110
sku880,1992,make48,model138
sku255,2009,make2,model96
sku463,1992,make22,model282
sku674,1992,make23,model155
sku285,2013,make36,model178
sku220,2000,make18,model364
sku863,2006,make9,model19
sku109,2002,make13,model495
sku601,1995,make14,model428
sku29,1997,make3,model246
sku386,2001,make3,model30
sku571,2001,make19,model428
sku472,1992,make11,model346
sku542,2003,make21,model202
sku240,2004,make23,model174
sku101,2006,make17,model351
sku912,2004,make28,model470
sku897,2004,make22,model142
sku71,2001,make18,model321
sku983,2007,make25,model227
sku794,2006,make8,model168
sku275,2003,make37,model257
sku153,1994,make44,model127
sku879,1994,make48,model396
sku799,2002,make37,model348
sku113,1993,make49,model92
sku645,1997,make42,model314
sku29,1997,make4,model411
sku29,1995,make8,model152
sku785,2011,make41,model469
sku78,2006,make10,model479
sku878,1993,make38,model338
sku654,2001,make19,model383
sku637,1998,make48,model141
sku667,2008,make46,model348
sku95,2013,make26,model62
sku211,2006,make22,model498
sku571,1995,make47,model325
sku923,1992,make31,model400
sku263,1998,make24,model459
sku828,2010,make35,model232
sku194,2005,make38,model430
sku405,2005,make28,model250
sku640,1991,make32,model425
sku746,1991,make43,model159
sku292,2008,make49,model107
sku896,2003,make1,model80
sku921,2001,make4,model374
sku334,2008,make11,model264
sku388,2012,make20,model396
sku609,2012,make15,model124
sku13,2011,make5,model379
sku959,2012,make4,model125
sku717,1990,make24,model306
sku608,2001,make39,model264
sku966,2010,make14,model150
sku601,2001,make42,model495
sku443,1995,make39,model26
sku155,1991,make15,model84
sku981,1999,make47,model470
sku338,2013,make10,model28
sku36,2005,make34,model322
sku129,2000,make9,model48
sku281,2000,make20,model441
sku932,1995,make44,model188
sku434,2005,make22,model294
sku719,2007,make38,model350
sku120,2006,make32,model229
sku677,2009,make26,model357
sku478,1994,make18,model304
sku615,2002,make36,model448
sku973,1992,make39,model453
sku315,2005,make14,model374
sku295,2006,make17,model7
sku427,1992,make36,model274
sku769,1998,make1,model223
sku175,2002,make8,model327
sku694,2002,make13,model155
sku39,2013,make11,model6
sku54,2013,make46,model184
sku625,1994,make6,model460
sku897,2000,make47,model162
sku541,2005,make44,model155
sku994,2010,make38,model84
sku388,2011,make42,model41
sku421,1991,make20,model230
sku39,2004,make24,model46
sku572,1999,make23,model99
sku579,2003,make6,model238
sku26,1991,make40,model283
sku693,2005,make44,model343
sku539,2005,make43,model463
sku535,2006,make1,model478
sku753,1999,make21,model396
sku989,2011,make45,model281
sku271,1998,make38,model425
sku918,2010,make17,model472
sku921,1992,make26,model307
sku788,1999,make15,model163
sku8,1993,make13,model272
sku826,1996,make25,model290
sku654,2011,make19,model322
sku800,1996,make11,model36
sku596,2013,make46,model257
sku832,1995,make23,model377
sku365,2013,make19,model76
sku346,2005,make24,model177
sku816,2007,make45,model321
sku987,1999,make11,model321
sku309,2004,make15,model55
sku841,2001,make9,model218
sku445,1992,make48,model139
sku342,1999,make2,model354
sku368,1999,make43,model357
sku58,1998,make4,model437
sku64,2013,make26,model26
sku357,2007,make35,model333
sku320,2013,make39,model81
sku458,2012,make30,model451
sku51,2003,make9,model197
sku949,1994,make5,model159
sku601,2012,make2,model330
sku293,1992,make27,model179
sku59,1991,make21,model208
sku778,1992,make5,model49
sku70,2010,make13,model264
sku806,2010,make22,model428
sku399,2004,make13,model174
sku814,1998,make34,model208
sku303,2006,make4,model298
sku790,2004,make48,model424
sku651,1998,make14,model215
sku457,1998,make27,model263
sku196,2008,make3,model1
sku639,2001,make43,model19
sku90,1992,make20,model452
sku449,1991,make16,model376
sku741,1999,make18,model266
sku996,1997,make19,model324
sku660,2005,make4,model59
sku984,2004,make33,model90
sku387,2006,make9,model13
sku177,1990,make4,model134
sku139,2000,make9,model294
sku495,2001,make17,model118
sku877,2006,make39,model437
sku988,1993,make26,model324
sku784,2004,make39,model384
sku198,1999,make48,model293
sku100,1993,make31,model139
sku161,2006,make28,model150
sku118,2007,make45,model307
sku198,1995,make43,model38
sku914,2004,make48,model451
sku756,2001,make28,model270
sku64,1997,make16,model131
sku717,1996,make43,model408
sku378,2000,make5,model270
sku127,2005,make42,model123
sku348,2007,make43,model273
sku953,2006,make31,model434
sku316,2003,make39,model36
sku36,1997,make31,model50
sku627,2012,make19,model172
sku171,1994,make8,model274
sku661,1996,make5,model394
sku887,2012,make2,model117
sku650,2011,make39,model301
sku590,1999,make24,model453
sku967,1995,make49,model2
sku552,2004,make6,model89
sku507,2001,make27,model339
sku667,2006,make12,model164
sku931,1997,make6,model409
sku236,1993,make3,model443
sku30,2009,make25,model310
sku228,2012,make27,model97
sku191,2002,make10,model371
sku92,1997,make46,model300
sku759,2000,make14,model213
sku120,2002,make38,model25
sku812,2010,make44,model24
sku9,2011,make47,model19
sku745,2000,make33,model486
sku373,1994,make9,model282
sku685,1998,make16,model388
sku659,1995,make19,model209
sku666,2005,make43,model393
sku150,2004,make42,model481
sku460,2006,make1,model234
sku616,2012,make26,model180
sku357,1993,make17,model365
sku346,2001,make15,model15
sku859,2004,make41,model259
sku824,1994,make47,model245
sku828,2008,make14,model489
sku371,1992,make47,model416
sku807,2012,make15,model211
sku885,2009,make40,model121
