"year","make","model","option","category","subcategory","country"
"1994","Fendt","FARMER 280","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","FARMER 312","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","FAVORIT 824","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","FAVORIT 926","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","365 GTA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","FARMER 280","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","FARMER 307","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","FARMER 310","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","FAVORIT 512 C","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","FAVORIT 822","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","XYLON 522","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1995","Fendt","XYLON 524","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","345GT","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","365 GTA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","FARMER 280","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","FARMER 304","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","FAVORIT 824","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1996","Fendt","XYLON 522","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","360GT","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","395","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FARMER 260","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FARMER 270","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FARMER 304","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FAVORIT 510 C","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FAVORIT 512 C","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1997","Fendt","FAVORIT 818","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","365 GTA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FARMER 304","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FARMER 307","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FARMER 308LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FARMER 312","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FAVORIT 509 C","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FAVORIT 716","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FAVORIT 822","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FAVORIT 924","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","FAVORIT 926","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1998","Fendt","XYLON 520","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","345GT","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FARMER 270","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FARMER 312","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FAVORIT 509 C","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FAVORIT 712","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","FAVORIT 926","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1999","Fendt","XYLON 524","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","380","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FARMER 270","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FAVORIT 712","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FAVORIT 818","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FAVORIT 824","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FAVORIT 920","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2000","Fendt","FAVORIT 926","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2001","Fendt","395","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2001","Fendt","FARMER 307","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2001","Fendt","FARMER 308","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2001","Fendt","FAVORIT 818","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2001","Fendt","FAVORIT 822","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2001","Fendt","FAVORIT 924","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","370","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","FARMER 307","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","FARMER 311","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","FARMER 312","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","FAVORIT 711","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2002","Fendt","FAVORIT 924","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","380","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","FARMER 250","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","FARMER 409","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","FARMER 410","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","FAVORIT 822","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","FAVORIT 920","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2003","Fendt","XYLON 524","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2005","Fendt","206 & 207 2WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2005","Fendt","208 & 209 2WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2005","Fendt","208 & 209 4WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2005","Fendt","VARIO 818 & 820","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2007","Fendt","208 & 209 4WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2008","Fendt","206 & 207 4WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2009","Fendt","206 & 207 2WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2009","Fendt","206 & 207 4WD","Base","Agricultural Tractor","Agricultural Equipment","USA"
"2009","Fendt","VARIO 818 & 820","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1981","Fimco","LG-300-4R","Base","Sprayer","Agricultural Equipment","USA"
"1981","Fimco","LG26-4R","Base","Sprayer","Agricultural Equipment","USA"
"1981","Fimco","LG30-4R","Base","Sprayer","Agricultural Equipment","USA"
"1983","Fimco","LG26-4R","Base","Sprayer","Agricultural Equipment","USA"
"1985","Fimco","LG26-4R","Base","Sprayer","Agricultural Equipment","USA"
"1986","Fimco","LG-300-4R","Base","Sprayer","Agricultural Equipment","USA"
"1987","Fimco","LG26-4R","Base","Sprayer","Agricultural Equipment","USA"
"1987","Fimco","LG30-4R","Base","Sprayer","Agricultural Equipment","USA"
"1989","Fimco","LG-300-4R","Base","Sprayer","Agricultural Equipment","USA"
"1991","Fimco","LG-300-4R","Base","Sprayer","Agricultural Equipment","USA"
"1991","Fimco","LG26-4R","Base","Sprayer","Agricultural Equipment","USA"
"1992","Fimco","LG26-4R","Base","Sprayer","Agricultural Equipment","USA"
"1993","Fimco","LG-300-4R","Base","Sprayer","Agricultural Equipment","USA"
"1993","Fimco","LG30-4R","Base","Sprayer","Agricultural Equipment","USA"
"1981","Ford New Holland","7610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Ford New Holland","5810","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Ford New Holland","7610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Ford New Holland","8210","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Ford New Holland","4610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Ford New Holland","6610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Ford New Holland","7610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Ford New Holland","TW15","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1984","Ford New Holland","5810","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1984","Ford New Holland","7610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1985","Ford New Holland","4610","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1985","Ford New Holland","8210","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1987","Ford New Holland","2910","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1987","Fox Brady","6460","Base","Combine","Agricultural Equipment","USA"
"1988","Fox Brady","6460","Base","Combine","Agricultural Equipment","USA"
"1989","Fox Brady","6660","Base","Combine","Agricultural Equipment","USA"
"1992","Fox Brady","6860","Base","Combine","Agricultural Equipment","USA"
"1978","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1979","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1980","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1980","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1981","Freeman","SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"1982","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1982","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1982","Freeman","SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"1983","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1983","Freeman","270PB","Base","Baler","Agricultural Equipment","USA"
"1983","Freeman","330PB","Base","Baler","Agricultural Equipment","USA"
"1983","Freeman","330SP","Base","Baler","Agricultural Equipment","USA"
"1983","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1983","Freeman","SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"1984","Freeman","270SP","Base","Baler","Agricultural Equipment","USA"
"1984","Freeman","330PB","Base","Baler","Agricultural Equipment","USA"
"1984","Freeman","330SP","Base","Baler","Agricultural Equipment","USA"
"1984","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1984","Freeman","SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"1985","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1985","Freeman","330SP","Base","Baler","Agricultural Equipment","USA"
"1985","Freeman","370PB","Base","Baler","Agricultural Equipment","USA"
"1986","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1986","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1986","Freeman","270PB","Base","Baler","Agricultural Equipment","USA"
"1986","Freeman","370PB","Base","Baler","Agricultural Equipment","USA"
"1987","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1988","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1988","Freeman","270PB","Base","Baler","Agricultural Equipment","USA"
"1988","Freeman","370SP","Base","Baler","Agricultural Equipment","USA"
"1989","Freeman","330PB","Base","Baler","Agricultural Equipment","USA"
"1989","Freeman","370SP","Base","Baler","Agricultural Equipment","USA"
"1990","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1990","Freeman","370PB","Base","Baler","Agricultural Equipment","USA"
"1991","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1991","Freeman","200SP","Base","Baler","Agricultural Equipment","USA"
"1991","Freeman","330SP","Base","Baler","Agricultural Equipment","USA"
"1991","Freeman","370SP","Base","Baler","Agricultural Equipment","USA"
"1992","Freeman","270SP","Base","Baler","Agricultural Equipment","USA"
"1993","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1993","Freeman","330PB","Base","Baler","Agricultural Equipment","USA"
"1993","Freeman","370SP","Base","Baler","Agricultural Equipment","USA"
"1994","Freeman","270PB","Base","Baler","Agricultural Equipment","USA"
"1994","Freeman","270SP","Base","Baler","Agricultural Equipment","USA"
"1994","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1995","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1995","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1996","Freeman","270SP","Base","Baler","Agricultural Equipment","USA"
"1996","Freeman","330SP","Base","Baler","Agricultural Equipment","USA"
"1997","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1997","Freeman","200SP","Base","Baler","Agricultural Equipment","USA"
"1997","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1997","Freeman","330SP","Base","Baler","Agricultural Equipment","USA"
"1998","Freeman","200PB","Base","Baler","Agricultural Equipment","USA"
"1998","Freeman","370 SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"1999","Freeman","370 SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"1999","Freeman","6000 BALE WAGON","Base","Baler","Agricultural Equipment","USA"
"2001","Freeman","1390 IN-LINE","Base","Baler","Agricultural Equipment","USA"
"2001","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"2001","Freeman","370 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"2001","Freeman","370 SELF-PROPELLED","Base","Baler","Agricultural Equipment","USA"
"2001","Freeman","5400 ROADSIDER","Base","Baler","Agricultural Equipment","USA"
"2003","Freeman","270 PULL TYPE","Base","Baler","Agricultural Equipment","USA"
"1981","Friday","PURNING TOWER","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1982","Friday","HOEING EQUIPMNT","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1983","Friday","HOEING EQUIPMNT","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1986","Friday","CHERRY HARVESTR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1987","Friday","HOEING EQUIPMNT","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1988","Friday","CHERRY HARVESTR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1988","Friday","PURNING TOWER","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1989","Friday","CHERRY HARVESTR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1991","Friday","PURNING TOWER","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1993","Friday","HOEING EQUIPMNT","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1995","Friday","PRUNING TOWER","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1981","Friend","393 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1983","Friend","2DSFG","Base","Sprayer","Agricultural Equipment","USA"
"1983","Friend","423 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1984","Friend","2DSFG","Base","Sprayer","Agricultural Equipment","USA"
"1984","Friend","COMMANDER","Base","Sprayer","Agricultural Equipment","USA"
"1985","Friend","2DSFG","Base","Sprayer","Agricultural Equipment","USA"
"1985","Friend","375","Base","Sprayer","Agricultural Equipment","USA"
"1985","Friend","423 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1986","Friend","366 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1986","Friend","393","Base","Sprayer","Agricultural Equipment","USA"
"1987","Friend","375","Base","Sprayer","Agricultural Equipment","USA"
"1987","Friend","393","Base","Sprayer","Agricultural Equipment","USA"
"1987","Friend","423 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1987","Friend","COMMANDER","Base","Sprayer","Agricultural Equipment","USA"
"1989","Friend","366 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1989","Friend","375","Base","Sprayer","Agricultural Equipment","USA"
"1989","Friend","393 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1990","Friend","366","Base","Sprayer","Agricultural Equipment","USA"
"1991","Friend","2HSFG","Base","Sprayer","Agricultural Equipment","USA"
"1991","Friend","324 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1992","Friend","393 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1993","Friend","2DSFG","Base","Sprayer","Agricultural Equipment","USA"
"1993","Friend","423 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1994","Friend","2DEFG","Base","Sprayer","Agricultural Equipment","USA"
"1994","Friend","393 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1994","Friend","COMMANDER","Base","Sprayer","Agricultural Equipment","USA"
"1995","Friend","2DSFG","Base","Sprayer","Agricultural Equipment","USA"
"1995","Friend","423 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1996","Friend","393 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1997","Friend","2HEFG","Base","Sprayer","Agricultural Equipment","USA"
"1997","Friend","324 AIRMASTER","Base","Sprayer","Agricultural Equipment","USA"
"1995","GVM","PROWLER","Base","Sprayer","Agricultural Equipment","USA"
"2002","GVM","PRDTR 9503T","Base","Sprayer","Agricultural Equipment","USA"
"2006","GVM","PRDTR 9503T","Base","Sprayer","Agricultural Equipment","USA"
"2010","GVM","PRDTR 9504T","Base","Sprayer","Agricultural Equipment","USA"
"2011","GVM","PRDTR 9504T","Base","Sprayer","Agricultural Equipment","USA"
"2013","GVM","PRDTR 9504T","Base","Sprayer","Agricultural Equipment","USA"
"1992","Gehl","2650","Base","Windrower","Agricultural Equipment","USA"
"2001","Gleaner","C62","Base","Combine","Agricultural Equipment","USA"
"2001","Gleaner","R52","Base","Combine","Agricultural Equipment","USA"
"2002","Gleaner","R62","Base","Combine","Agricultural Equipment","USA"
"2002","Gleaner","R65","Base","Combine","Agricultural Equipment","USA"
"2005","Gleaner","R55","Base","Combine","Agricultural Equipment","USA"
"2006","Gleaner","A75","Base","Combine","Agricultural Equipment","USA"
"2008","Gleaner","A66","Base","Combine","Agricultural Equipment","USA"
"2008","Gleaner","A86","Base","Combine","Agricultural Equipment","USA"
"2008","Gleaner","R75","Base","Combine","Agricultural Equipment","USA"
"2009","Gleaner","A66","Base","Combine","Agricultural Equipment","USA"
"2009","Gleaner","A76","Base","Combine","Agricultural Equipment","USA"
"2009","Gleaner","A86","Base","Combine","Agricultural Equipment","USA"
"2009","Gleaner","R77","Base","Combine","Agricultural Equipment","USA"
"1981","Goldoni","EURO 42","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Goldoni","926","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Goldoni","928","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Goldoni","933","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Goldoni","945","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Goldoni","EURO 26RS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1984","Goldoni","926","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1984","Goldoni","933","Base","Agricultural Tractor","Agricultural Equipment","USA"
